period,stock_symbol,ordinary_shares_number,share_issued,total_debt,cash_and_cash_equivalents
2021-12-31 00:00:00,ALLE,88215625.00,88215625.00,1442100000.00,397900000.00
2020-12-31 00:00:00,ALLE,91212741.00,91212741.00,1429600000.00,480400000.00
2019-12-31 00:00:00,ALLE,,,,
2023-12-31 00:00:00,LNT,256096848.00,256475854.00,9509000000.00,62000000.00
2022-12-31 00:00:00,LNT,251134966.00,251537100.00,8718000000.00,20000000.00
2021-12-31 00:00:00,LNT,250474529.00,250474529.00,7883000000.00,39000000.00
2020-12-31 00:00:00,LNT,249868415.00,249868415.00,7166000000.00,54000000.00
2019-12-31 00:00:00,LNT,,,,
2023-12-31 00:00:00,ALL,262496775.00,900496775.00,7942000000.00,722000000.00
2022-12-31 00:00:00,ALL,263000000.00,900000000.00,7964000000.00,736000000.00
2021-12-31 00:00:00,ALL,281000000.00,900000000.00,7976000000.00,763000000.00
2020-12-31 00:00:00,ALL,304000000.00,900000000.00,7825000000.00,311000000.00
2019-12-31 00:00:00,ALL,,,,
2023-12-31 00:00:00,PODD,69907289.00,69907289.00,1415800000.00,704200000.00
2022-12-31 00:00:00,PODD,69511286.00,69511286.00,1401800000.00,674200000.00
2021-12-31 00:00:00,PODD,69178691.00,69178691.00,1273900000.00,790000000.00
2020-12-31 00:00:00,PODD,66017000.00,66017000.00,1059300000.00,907200000.00
2019-12-31 00:00:00,PODD,,,,
2023-12-31 00:00:00,INTC,4228000000.00,4228000000.00,49278000000.00,7079000000.00
2022-12-31 00:00:00,INTC,4137000000.00,4137000000.00,42007000000.00,11144000000.00
2021-12-31 00:00:00,INTC,4070000000.00,4070000000.00,38110000000.00,4827000000.00
2020-12-31 00:00:00,INTC,4062000000.00,4062000000.00,36401000000.00,5865000000.00
2019-12-31 00:00:00,INTC,,,,
2023-12-31 00:00:00,ICE,573000000.00,649000000.00,22912000000.00,899000000.00
2022-12-31 00:00:00,ICE,559000000.00,634000000.00,18376000000.00,1799000000.00
2021-12-31 00:00:00,ICE,561000000.00,631000000.00,14170000000.00,607000000.00
2020-12-31 00:00:00,ICE,561000000.00,629000000.00,16857000000.00,583000000.00
2019-12-31 00:00:00,ICE,,,,
2023-12-31 00:00:00,IFF,255288535.00,275726629.00,10798000000.00,703000000.00
2022-12-31 00:00:00,IFF,254968463.00,275726629.00,11728000000.00,483000000.00
2021-12-31 00:00:00,IFF,254573984.00,275726629.00,12179000000.00,711000000.00
2020-12-31 00:00:00,IFF,106937990.00,128526137.00,4722000000.00,650000000.00
2019-12-31 00:00:00,IFF,,,,
