period,stock_symbol,ebitda,ebit,diluted_eps,basic_eps,net_income,tax_provision,pretax_income,operating_income,operating_expense,gross_profit,total_revenue,operating_revenue
2023-12-31 00:00:00,DTE,3963000000.00,2357000000.00,6.7600,6.7700,1397000000.00,169000000.00,1566000000.00,2292000000.00,2035000000.00,4327000000.00,12745000000.00,12745000000.00
2021-12-31 00:00:00,CPAY,1506710000.00,1222513000.00,9.9900,10.2300,839497000.00,269311000.00,1108808000.00,1242556000.00,1031361000.00,2273917000.00,2833736000.00,2833736000.00
2020-12-31 00:00:00,CPAY,1267130000.00,1012328000.00,8.1200,8.3800,704216000.00,178309000.00,882525000.00,972265000.00,820227000.00,1792492000.00,2388855000.00,2388855000.00
2019-12-31 00:00:00,CPAY,,,,,,,,,,,,
2023-12-31 00:00:00,CTVA,2537000000.00,1326000000.00,1.0300,1.0400,735000000.00,152000000.00,1093000000.00,2110000000.00,5196000000.00,7306000000.00,17226000000.00,17226000000.00
2022-12-31 00:00:00,CTVA,2728000000.00,1505000000.00,1.5800,1.5900,1147000000.00,210000000.00,1426000000.00,1928000000.00,5091000000.00,7019000000.00,17455000000.00,17455000000.00
2021-12-31 00:00:00,CTVA,3619000000.00,2376000000.00,2.3700,2.3900,1759000000.00,524000000.00,2346000000.00,1317000000.00,5118000000.00,6435000000.00,15655000000.00,15655000000.00
2020-12-31 00:00:00,CTVA,1897000000.00,720000000.00,0.9100,0.9100,681000000.00,-81000000.00,675000000.00,843000000.00,4867000000.00,5710000000.00,14217000000.00,14217000000.00
2019-12-31 00:00:00,CTVA,,,,,,,,,,,,
2023-12-31 00:00:00,CSGP,389800000.00,282300000.00,0.9200,0.9200,374700000.00,126600000.00,501300000.00,282300000.00,1681200000.00,1963500000.00,2455000000.00,2455000000.00
2022-12-31 00:00:00,CSGP,588900000.00,451000000.00,0.9300,0.9300,369500000.00,117000000.00,486500000.00,451000000.00,1317400000.00,1768400000.00,2182400000.00,2182400000.00
2021-12-31 00:00:00,CSGP,571858000.00,432300000.00,0.7400,0.7500,292600000.00,111400000.00,404000000.00,432300000.00,1154600000.00,1586900000.00,1944100000.00,1944100000.00
2020-12-31 00:00:00,CSGP,406146000.00,289202000.00,0.5930,0.5970,227128000.00,43852000.00,270980000.00,289202000.00,1060849000.00,1350051000.00,1659019000.00,1659019000.00
2019-12-31 00:00:00,CSGP,,,,,,,,,,,,
2024-08-31 00:00:00,COST,12146000000.00,9909000000.00,,,7367000000.00,2373000000.00,9740000000.00,9285000000.00,22810000000.00,32095000000.00,254453000000.00,254453000000.00
2023-08-31 00:00:00,COST,10724000000.00,8647000000.00,14.1600,14.1800,6292000000.00,2195000000.00,8487000000.00,8114000000.00,21590000000.00,29704000000.00,242290000000.00,242290000000.00
2022-08-31 00:00:00,COST,9898000000.00,7998000000.00,13.1400,13.1700,5844000000.00,1925000000.00,7840000000.00,7793000000.00,19779000000.00,27572000000.00,226954000000.00,226954000000.00
2021-08-31 00:00:00,COST,8632000000.00,6851000000.00,11.2700,11.3000,5007000000.00,1601000000.00,6680000000.00,6708000000.00,18537000000.00,25245000000.00,195929000000.00,195929000000.00
2020-08-31 00:00:00,COST,,,9.0200,9.0500,,,,,,,,
2023-12-31 00:00:00,CTRA,3860000000.00,2219000000.00,2.1400,2.1400,1625000000.00,503000000.00,2128000000.00,2154000000.00,582000000.00,2736000000.00,5914000000.00,5603000000.00
2022-12-31 00:00:00,CTRA,6917000000.00,5282000000.00,5.0900,5.0900,4065000000.00,1104000000.00,5169000000.00,5279000000.00,722000000.00,6001000000.00,9051000000.00,9449000000.00
